term,estimate,std_error,z,OR,OR_low,OR_high,p_value
treatmentPhone,0.2957132350205139,0.1738933775510027,1.7005433972537658,1.3440846651505078,0.9562820912661252,1.891294807858366,0.08902876069731891
treatmentPrint,0.4014313779719856,0.16476124320660662,2.436443001759827,1.4939615916381892,1.0822217411069905,2.065013940809362,0.014832506840396647
treatmentPhone+Print,0.6723422456478367,0.17166314353322384,3.9166371523291543,1.9588199892677813,1.400676432681532,2.746100686003466,8.979274049442955e-5
